post_num,links,img_url,timestamp,num_comments,num_likes,caption
63,https://www.instagram.com/p/Bm8qcoQg5RvNrxYd2LZudDKPGfEKQj7UzkdVGU0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/1d9f42bafb328534af1efe39cb3c1c38/5BD7CA89/t51.2885-15/e35/39613375_300383924071339_4423993989087100928_n.jpg,1535299158,3,36,. . . مـا غنیمتــــ های بی رویای این جنگـای سردیمــــــــ زندگیمـون کـو ببین مـا کشتـه هـای بی نبردیمــــــــ . . گاهى بايد دردمون بگيره كه به خودمون تكونى بديم. ما رفوزه هاى اخلاق اين برهه از تاريخيم، وقتى آيندگان با انزجار ازمون ياد مى كنن. همه انگشت اتهام رو به سوى ديگرى دراز كرديم و خودمون رو مبرا از خطا و اشتباه دونستيم، غافل از اينكه تو وجود تك تكمون يك رانت خوار، يك بى رحم و بى توجه به اوضاع بقيه مردم و يك ديكتاتور خوابيده و امان از روزى كه به قدرت برسيم، هيچ فرقى با حاكمانمون نداريم. اگه قبلا ميشد اين رو كتمان كرد، تجربه اين هفت ماهه ديو درون خيلى هامون رو آشكار كرد. دردمون بگيره، از مردمى كه اگه همه دنيا و حاكمان كشور بهشون رحم نكنن، خودشون هم بهم رحم نمى كنن! . . . #علی_زندوکیلی#حسین_غیاثی#تلخه_اما_با_هم_نبوديم#ما_آدمای_شهر_حسودیم#خسته_از_کابوس_رفتن#دور_از_اون_روزای_روشن#ما_واقعا_با_هم_چه_کردیم#سقف_کبود#رفوزه_های_اخلاق _____________________ caption:@elham_mjrb
62,https://www.instagram.com/p/BmC3oUCAyJs2ajN4mi6EvIbuVN6P56UkU73bd00/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/89f711ade873694ed1797636a7a73fce/5C7BD7FE/t51.2885-15/e35/37704532_1524706184300788_1169014343338033152_n.jpg,1533359628,6,210,. . . خلوتی داریم و حالی با خیالِ خویشتن . . . . . . #حیاط_ت #تابستون #شهریار #مرداد #سبز
61,https://www.instagram.com/p/Bk73ItlgLUDv6EA_5vnHan-bDP1k1ndtm4SJ5Y0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/450ac1332bcd382a391cd36c23225e9f/5C68DE9C/t51.2885-15/e35/36147970_625841414437851_4685105426335793152_n.jpg,1530977005,3,146,. . . .  داننده تویی؛ هرآنچه دانی، آن دِه ... . . .
60,https://www.instagram.com/p/Bj7UuS8AsX3ji3Ha0d0NHyy_ZGvbWOSHRNmG6Q0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/d8474a9691f09a89acf1ff7b50811cf3/5C68C804/t51.2885-15/e35/33559735_195873064300484_4277341519016361984_n.jpg,1528811479,6,130,. . ‌. . صبح ها ساعت یک ربع به هشت که به مدرسه می رسیدم گروهی که در حیاط درس می خواندند مانند اشباح سرگردان از این سو به آن سو می رفتند و گاه به هم بر می خوردند و شاکی می شدند که چرا در خط من راه می روی. اما پاتوق من مانند اکثریت گوشه های حیاط و کنار دیوار بود .جای آدم هایی بود که می خواستند یک خط درس بخوانند و یک خط خاطره تعریف کنند. نماز خانه هم جای آدم هایی بود که جوراب آبرومندی به پا داشتند! گذر از گارد بازرسی جامدادی همیشه برای من مشکل بود ، چون جیب هایم به لطف مادر پر از کشمش و تخمه و چند برگ گل محمدی بود و تا جامدادی را از بقالی جیب هایم خارج می کردم طول می کشید. مراقب خود داستانی بود و مشخص است همه چه جور مراقبی دوست دارند! اما من به لطف الف ِ سرِ فامیلم در این بابت از هر دو جهان آزادم چون تقلب کردن در میز اول خصوصا برای آدم آماتوری مثل من که به لطف همین میز اول هیچ وقت تقلب کردن را یادنگرفت ، غیرممکن بود! این نفرین میز اول است که معلم وقتی به آن می رسد ، انگشت هایش را روی زمینه میز بر انداز کند ، ضربی بگیرد به دیوار تکیه زند و زیر لب زمزمه کند. حتی یک بار که یک صندلی تکی جلوی میزم گذاشتم ، مراقب به زور خود را بین فاصله ی اندک دیوار وصندلی جا کرد!! برعکس پشت کلاس که سیستم های تقلبی خیلی قوی بود و بچه ها مباحث را تقسیم کرده بودند و هر کس قسمتی را پوشش می داد و مچ دست ها تا آرنج و ساق پاها تا زانو و پشت و روی شلوارها و لوله ی خودکارها نوشته شده بود. حدود یک ربع بعد از امتحان که ذهن ها با انجام نفرین هایی خفیف آرام شده بود حیاط مدرسه به بهترین پارک دنیا تبدیل می شد . آفتاب خدا می تابید و در هر گوشه بازی می کردند. فوتبال، پرتاب سنگ به اهداف ثابت یا پروازی و... و انتظار برای دوستی که احتمالا بعد از وصول امدادهای غیبی برگه را تحویل داده و به آنها اضافه شود. امتحانات خرداد متفاوت اند ، خورشید خدا می تابد و صبح هایش به پیک نیک شباهت داد! امتحانات تمام شد و من در تک تک اعضا متألمم و از همه بیشتر در قلبم انگار هنوز تمام نشده. دلم برای فلاکت و خنده های صبح امتحان تنگ شده است. برای معلم ها. برای خیابان گز کردن های بعد از امتحان. برای استرس تمام شدن رنگ خودکار سر جلسه و برای گذاشتن برگ گل محمدی زیر زبان به بهانه ی آرامش... . . ‌. .  #امتحان_خرداد#مدرسه#هم_کلاسی#معلم#تابستون#کارنامه#سمپادیا
59,https://www.instagram.com/p/BjHPyJBgqsk2iqHq67R-GqZyE2U1sY5fiOQYCE0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/0d52c0e0dbcbd3d9bb1b47d460327fae/5C68CAB9/t51.2885-15/e35/32368388_420286975106555_519941843136282624_n.jpg,1527064058,1,176,. . . . . . من باهارم تو زمین  من زمینم تو درخت  من درختم تو باهار ، ناز انگشتای بارون تو باغم می کنه . . . #احمد_شاملو
58,https://www.instagram.com/p/BiZOPG9g5Qonmw0Byreg-22BWyFa44u2QL14Tw0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/fd27e48d012863dc8b22cd94a51360d2/5BD7F731/t51.2885-15/e35/30948616_242009013022330_4988432174446280704_n.jpg,1525519956,2,83,. . . . باران عشق بند آمد___ . .  #ناصر_چشم_آذر #نوستالژی #باران_عشق #خواهران_غريب  #قصه_های_مجید #هامون #تو_برقص #شبهای_تهران #طلوع_عشق #شکوفه_های_ایران
57,https://www.instagram.com/p/BiRNLWoAS-gJTHW0tYGsxYwllKPKYC7TAoYbog0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/8170a3dc7fd188ded9ed69d7c323e9ef/5C6EF58A/t51.2885-15/e35/30894207_196320907653697_3296551862567698432_n.jpg,1525250753,0,193,. . . .  خوشا دردی! که درمانش تو باشی  خوشا راهی! که پایانش تو باشی  خوشا چشمی! که رخسار تو بیند  خوشا ملکی! که سلطانش تو باشی  #عراقی
56,https://www.instagram.com/p/BhqebOhA-FGKqwY4IIuj54912Nub4L3djbZ65Y0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/7a87f80b3bdcae985ddc2acf9f44aa52/5C713432/t51.2885-15/e35/30841555_1692318784183506_7014918407510294528_n.jpg,1523951173,4,164,. . . . #حی اویی است که عالم را به نظر خویش زنده می‌گرداند،  و آنکه بدو و به نظر او زنده نباشد، مرده‌ای است ؛  اگرچه سخن گوید و بجنبد!  #حسین_بن_منصور_الحلاج #اکسیژن
55,https://www.instagram.com/p/Bhb3ZRMAN6tdyXhh2VXVe7am_x0mIo2sybgswM0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/5bc24bfdb47f83eecf45805a4814d17f/5C7D5EC5/t51.2885-15/e35/29737107_1609502995835735_8335691198299635712_n.jpg,1523460948,0,280,. . . . اکثر رنج های ما ناشی از این است که با خواسته ها و تمایلات برانگیخته میشویم و بعد ، وقتی خواسته برآورده می شود از لحظه ارضای آن لذت می بریم. لحظه ای که خیلی زود تبدیل به دلزدگی و کسالت میشود و سپس این دلزدگی با بروز و سر برآوردن خواسته ای دیگر متوقف می شود. این چرخه خواستن مداوم ، ارضای لحظه ای ، دلزدگی و خواسته بعدی بیماری بشر در این جهان است.  #اروین_یالوم #جفت_شیش
54,https://www.instagram.com/p/BggIlc_H3YZN71njpswiF6rhcrsMT18BLRZ80I0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/1ce361655a842653ee3c71aa81975c5c/5C4C82C8/t51.2885-15/e35/28766225_797829860412225_8644037753861832704_n.jpg,1521456694,4,135,. . . .  پیش آ بهار خوبی تو اصل فصل هایی . . . . . .  #مولانا#شاخه
