post_num,links,img_url,timestamp,num_comments,num_likes,caption
1043,https://www.instagram.com/p/BnB6co0hn1P/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/67b70bcb18bb68f75bd303e930249f83/5C848FF1/t51.2885-15/e35/39887442_282154672508961_3924124890357039104_n.jpg,1535475035,4976,23468,"گزينه سن رو پر نكنيد" با سلام و درود به همراهان گرامی سریال «شهرزاد» تحقیق حاضر به منظور نگارش مقاله «مدل تعهد مخاطب ایرانی به فیلم‌های سینمایی و سریال‌های شبکه نمایش خانگی در شبکه اجتماعی اینستاگرام» درباره صفحه سریال «شهرزاد» در اینستاگرام انجام می‌شود. از شما خواهشمندم که به سوالات صادقانه پاسخ دهید؛ پرسشنامه بی‌نام بوده و از اطلاعات آن تنها برای نگارش مقاله فوق استفاده خواهد شد. برای هر سوال، پاسخی را انتخاب کنید که بیشترین نزدیکی را به دیدگاه شما دارد. - این پرسشنامه به صورت الکترونیک تهیه شده است و شما می‌توانید با مراجعه به کانال تلگرامی سریال «شهرزاد» به لینک این پرسشنامه دسترسی پیدا کرده و به سوالات پاسخ دهید. - تکمیل این پرسشنامه 5 تا 8 دقیقه از زمان شما را خواهد گرفت. - با توجه به موضوع تحقیق، لطفا افرادی که هم عضو شبکه اجتماعی اینستاگرام و هم عضو صفحه اینستاگرام سریال شهرزاد هستند به این پرسشنامه پاسخ دهند. از اینکه در این تحقیق شرکت و پرسشنامه مورد نظر را تکمیل می‌کنید، از شما سپاسگزارم.
1042,https://www.instagram.com/p/Bmc2m3UB2M3/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/a8da59b9522da7d8888b0d9663f547d7/5C674D67/t51.2885-15/e35/38433162_1890908854538368_6389978778788954112_n.jpg,1534231507,334,22379,. تبريك تيم شهرزاد به آقاى حسن فتحى  براى دريافت  تندیس حافظ بهترین كارگردانى برای سريال «شهرزاد» . فتحی:سلام. درود می‌فرستم بر روان پاک علی معلم. متشکرم از هیات داوران. این جایزه به همه عوامل شهرزاد تعلق دارد. این چهارمین تندیس حافظی است که برنده می‌شوم. دو سال پیش نیز برای فصل نخست شهرزاد این جایزه را کسب کردم. مشکلات زیادی داتشیم که خداروشکر بر همه آن‌ها غلبه کردیم. من می‌خواهم از طرف عوامل «شهرزاد» این جایزه را به مردم ایران تقدیم کنم. امیدوارم انصاف، عدالت‌خواهی، خردجمعی و واقع‌گرایی به ما کمک کند تا مسائل کشور را حل کنیم. اگر امید گم بشود، می‌توان پیدایش کرد، اما وای به روزی که امید، بمیرد. عكاس: آزاده اميرخان @azadehamirkhan
1041,https://www.instagram.com/p/BmblUiOh3in/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/05db5e00be6c6a5fc1f220809f5c69f8/5C4E19A7/t51.2885-15/e35/38811245_230198324348182_1358042537004105728_n.jpg,1534188890,1069,66863,. تبريك تيم شهرزاد به آقاى مهدى سلطانى براى دريافت  تندیس حافظ بهترین بازیگر مرد درام برای سريال «شهرزاد» . سلطانی: «من از پسر شانس نیاوردم! فرهاد که یاغی شد، حامد هم که مرد. از عروس هم شانس نیاوردم! شهرزاد و لیلا جفتشون خونه خرابم کردند! ممنونم از شما و هیات داوران که لطف داشتند به من و تشکر می‌کنم از همه عوامل شهرزاد. همچنین از شما بینندگان عزیز که از ما حمایت کردید. می‌خواهم با اجازه از گروه شهرزاد، این جایزه را تقدیم کنم به گنده‌لاتای با معرفت! عاشقای دل خسته! کاسبای با معرفت! همسران با محبت! و علی معلم ها! خیلی ممنونم. مواظب خودتان باشید.» . عكس آزاده امير خان  @azadehamirkhan
1040,https://www.instagram.com/p/BmbkUyKhNe9/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/c53612df41fd8ec7bf9c581221976173/5C689ACA/t51.2885-15/e35/38169859_2048648278797960_751028710206865408_n.jpg,1534188368,206,40101,. تبريك تيم شهرزاد به خانم رويا نونهالى براى دريافت  تندیس حافظ بهترین بازیگر زن درام برای سريال «شهرزاد» . نونهالی: سپاس بی پایان از سرکار خانم آذر معماریان و همه دوستانی که همراهیشان می‌کنند. این اولین بار نیست که مهر دنیای تصویر شامل حال من می‌شود. خیلی سپاسگزارم از هیات داوران عزیز و ممنونیم که بار دیگر به ما رای اعتماد دادند. . عكس آزاده امير خان ‏@azadehamirkhan
1039,https://www.instagram.com/p/BmOYA2VBRlw/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/0e079898539186317d1f15175e44444a/5C872B8B/t51.2885-15/e35/38505440_663383144020153_4844411617384857600_n.jpg,1533745705,401,26105,📷 روز خبرنگار بر اصحاب قلم و رسانه گرامي باد. . ممنون از تمامى اصحاب رسانه جهت پوشش دادن خبر هاى سه فصل سريال " شهرزاد "  خبرنگاران پرومته هاي شجاع و حقيقت طلب زمانه ما هستند؛ آنها آتش مقدس آگاهي را  برغم همه مخاطرات، به ميان مردم مي برند و از طريق گسترش جريان آزاد اخبار و اطلاعات، امكان توسعه بيشتر فرهنگ بشري را فراهم مي سازند. روز خبرنگار مبارك و خجسته باد.
1038,https://www.instagram.com/p/BmNjqEmhAlI/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/697977ce399033902486323540acf5f3/5C675AC2/t51.2885-15/e35/38096831_2170073389928857_1788415487177129984_n.jpg,1533718256,354,39901,. يه مرد براى ِدل ِگرو بستن به يه لحظه مُحتاجه براى فراموش كردن به يه عمر
1037,https://www.instagram.com/p/BmJYAArBxQV/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/052fb35fd6c6612c4ea366f36ecb48f5/5C659940/t51.2885-15/e35/38097502_695508220799561_1045909929115779072_n.jpg,1533577926,1011,28774,. ١٢نامزدی برای سریال شهرزاد درهجدهمین جشن حافظ ١)بهترين مجموعه : سيد محمد امامى ٢)بهترين کارگردان: حسن فتحى  ٣)بهترين فيلمنامه : حسن فتحی، نغمه ثمینی ٤)بهترين بازيگر زن درام:  پری‌ناز ایزدیار  گلاره عباسی  ترانه علیدوستی  رویا نونهالی  ٥)بهترين بازيگر مرد درام: شهاب حسینی  مصطفی زمانی  مهدی سلطانی  امیرحسین فتحی
1036,https://www.instagram.com/p/BldIoS9hXdo/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/2958411cdb87639bc18276f1d55a6581/5C6A3CCA/t51.2885-15/e35/36790989_2034876256531827_3254101075828932608_n.jpg,1532093473,657,30189,. سركار خانم گلاره عباسي  سال روز تولدتون مبارك و پر از شادماني  اميدواريم هميشه سلامت و شاد باشيد 🌹🌺🎉🌸🎊 عكس محمد اسماعيلى  @mohamadesmaeeli
1035,https://www.instagram.com/p/BlXVD4nhVB9/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/0dea8c9839b3e90f67aad8d24e08e2c9/5C652577/t51.2885-15/e35/36854588_820387108307854_5277484530029035520_n.jpg,1531898663,144,16095,🖤 جناب آقای علی اسدزاده مدیرعامل محترم شرکت تصویر گستر پاسارگاد . درگذشت مادر گرامیتان را به شما و خانواده محترمتان تسلیت عرض نموده و برایشان از درگاه خداوند متعال مغفرت و برای بازماندگانشان صبر جمیل خواهانیم . روابط عمومى تصوير گسترپاسارگاد
1034,https://www.instagram.com/p/BkUcbaHBzQZ/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/1a19e4b2eb51edb62d589f848d6350fd/5BD7CD80/t51.2885-15/fr/e15/s1080x1080/35176586_245668386207420_231661666838773760_n.jpg,1529654503,2558,53829,. فصل آخر بی تو، قصه‌ای تلخ و غم انگیز بشه
